year,subject,women,total,Ariel,OpenU,BGU,Haifa,BIU,TAU,Technion,HUJI
2020,biology,880,1348,43,44,156,66,197,346,50,446
2019,biology,925,1423,51,34,142,126,231,301,42,496
2018,biology,928,1409,55,38,128,103,208,385,14,478
2017,biology,896,1406,61,23,127,149,193,350,26,477
2016,biology,969,1455,70,35,150,131,231,361,39,438
2015,biology,813,1280,25,33,118,64,220,358,37,425
2014,biology,731,1146,29,,125,39,192,303,42,414
2013,biology,768,1198,,,152,55,214,343,57,377
2012,biology,790,1171,,,140,43,262,291,54,381
2011,biology,750,1140,,,141,51,266,274,55,353
2010,biology,865,1323,,,154,52,343,320,81,373
2009,biology,864,1300,,,162,60,292,339,78,368
2008,biology,853,1348,,,156,56,280,337,83,436
