BIU,TAU,Ariel,Technion,BGU,HUJI,WIS
Avner Shaulov,,Maresllo Shifer,Amos Ori,Alexander Gersten,Oded Agam,Karen Michaeli
Issac Freund,,Vladimir Belavin,Boris Blok,Amnon Moalem,Yonathan Anahory,David Mross
Mordechai Deutsch,,Yosef Raichlin,Erez Braun,Avraham Beer,Yinon Ashkenazy,Micha Berkooz
Noa Koartzweil,,,Netanel Lindner,Baruch Horovitz,Eldad Bettelheim,Amos Breskin
Valentin Freilikher,,,Yariv Kafri,Charles Korn,Mordechai Botton-Dascal,Haim Harari
Yitzhak Rabin,,,Yoram Rozen,Daniel Rich,Alexander Sasha Feigel,Ofer Feinerman
Ziv Kizner,,,,David Owen,Omri Gat,Joel Stavans
,,,,Mario Feingold,Amir Giveon,
,,,,Michael Gedalin,Ami Glasner,
,,,,Reuben Shuker,Amiram Leviatan,
,,,,Salman Rosenwaks,Ronen Rapaport,
,,,,Shaul Goren,Itay Shomroni,
,,,,Yigal Horowitz,Hadar Steinberg,
,,,,Yishay Manssen
